;CaptureName;LocalTime;UTCTime;ExposureTime;ISOSpeed;ShutterSpeed;Aperture;ExposureCorrection;DroneEasting;DroneNorthing;EPSG_Target;DroneRoll;DronePitch;DroneYaw;RadianceMean;RadianceMedian;RadianceSTD;RadianceMin;RadianceMax;IrradianceCorr_DDR6.0;IrradianceCorr_DDR1.0;IrradianceCorr_DDR0.1;SunSensorAngle;SolarElevation;SolarAzimuth
IMG_0011_1;IMG_0011;1575543036;2019-12-05 11:50:36.708190+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646417.9207;5676517.53;32631;0.024697528;0.075829928;-2.45261772;0.008894617;0.008883222;0.000488733;0.006232821;0.011406705;0.15986961;0.15986961;0.14829142;69.58545123;16.33274229;184.9563501
IMG_0011_2;IMG_0011;1575543036;2019-12-05 11:50:36.708190+00:00;0.00144;200;0.00144;2.8;27.22222222;646417.9207;5676517.53;32631;0.024697528;0.075829928;-2.45261772;0.00693229;0.006916776;0.000379053;0.00546412;0.009199584;0.134270531;0.134270531;0.124546296;69.58545123;16.33274229;184.9563501
IMG_0011_3;IMG_0011;1575543036;2019-12-05 11:50:36.708190+00:00;0.00162;400;0.00162;2.8;12.09876543;646417.9207;5676517.53;32631;0.024697528;0.075829928;-2.45261772;0.006924381;0.006925797;0.000377013;0.005191559;0.008932402;0.118525354;0.118525354;0.109941428;69.58545123;16.33274229;184.9563501
IMG_0011_4;IMG_0011;1575543036;2019-12-05 11:50:36.708190+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646417.9207;5676517.53;32631;0.024697528;0.075829928;-2.45261772;0.008073894;0.008068376;0.000424239;0.006203492;0.010573695;0.071798092;0.071798092;0.06659828;69.58545123;16.33274229;184.9563501
IMG_0011_5;IMG_0011;1575543036;2019-12-05 11:50:36.708190+00:00;0.001215;800;0.001215;2.8;8.065843621;646417.9207;5676517.53;32631;0.024697528;0.075829928;-2.45261772;0.005551597;0.00555174;0.000464888;0.003312267;0.008255815;0.101662091;0.101662091;0.094299447;69.58545123;16.33274229;184.9563501
IMG_0012_1;IMG_0012;1575543046;2019-12-05 11:50:46.737030+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646418.2283;5676517.773;32631;0.023932579;0.076615505;-2.451110797;0.008725186;0.008716386;0.000488736;0.006325743;0.0107584;0.15772907;0.15772907;0.146276444;69.59171679;16.33046339;184.9965313
IMG_0012_2;IMG_0012;1575543046;2019-12-05 11:50:46.737030+00:00;0.00144;200;0.00144;2.8;27.22222222;646418.2283;5676517.773;32631;0.023932579;0.076615505;-2.451110797;0.006816753;0.006804446;0.000378729;0.005285154;0.009062286;0.133036219;0.133036219;0.123376528;69.59171679;16.33046339;184.9965313
IMG_0012_3;IMG_0012;1575543046;2019-12-05 11:50:46.737030+00:00;0.00162;400;0.00162;2.8;12.09876543;646418.2283;5676517.773;32631;0.023932579;0.076615505;-2.451110797;0.006824608;0.006825687;0.000376013;0.005158313;0.008560407;0.117474046;0.117474046;0.108944316;69.59171679;16.33046339;184.9965313
IMG_0012_4;IMG_0012;1575543046;2019-12-05 11:50:46.737030+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646418.2283;5676517.773;32631;0.023932579;0.076615505;-2.451110797;0.007982369;0.007978224;0.000420285;0.005866909;0.010042574;0.071275539;0.071275539;0.066100259;69.59171679;16.33046339;184.9965313
IMG_0012_5;IMG_0012;1575543046;2019-12-05 11:50:46.737030+00:00;0.001215;800;0.001215;2.8;8.065843621;646418.2283;5676517.773;32631;0.023932579;0.076615505;-2.451110797;0.005462214;0.005458426;0.000461745;0.003223804;0.007727839;0.100713531;0.100713531;0.093400774;69.59171679;16.33046339;184.9965313
IMG_0013_1;IMG_0013;1575543056;2019-12-05 11:50:56.765830+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646418.102;5676518.036;32631;0.023366439;0.07737933;-2.451091369;0.008551879;0.008544444;0.000482492;0.006085778;0.010777183;0.15551733;0.15551733;0.144262597;69.58780978;16.32816634;185.0367048
IMG_0013_2;IMG_0013;1575543056;2019-12-05 11:50:56.765830+00:00;0.00144;200;0.00144;2.8;27.22222222;646418.102;5676518.036;32631;0.023366439;0.07737933;-2.451091369;0.006697269;0.006683891;0.000378208;0.004796642;0.009213188;0.131740994;0.131740994;0.122206946;69.58780978;16.32816634;185.0367048
IMG_0013_3;IMG_0013;1575543056;2019-12-05 11:50:56.765830+00:00;0.00162;400;0.00162;2.8;12.09876543;646418.102;5676518.036;32631;0.023366439;0.07737933;-2.451091369;0.006694872;0.006695997;0.000372648;0.004563632;0.008339875;0.116727829;0.116727829;0.108280278;69.58780978;16.32816634;185.0367048
IMG_0013_4;IMG_0013;1575543056;2019-12-05 11:50:56.765830+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646418.102;5676518.036;32631;0.023366439;0.07737933;-2.451091369;0.0078939;0.00788945;0.000420978;0.006085914;0.009952525;0.070615015;0.070615015;0.065504632;69.58780978;16.32816634;185.0367048
IMG_0013_5;IMG_0013;1575543056;2019-12-05 11:50:56.765830+00:00;0.001215;800;0.001215;2.8;8.065843621;646418.102;5676518.036;32631;0.023366439;0.07737933;-2.451091369;0.005360991;0.005362163;0.000463889;0.003112555;0.007602067;0.100042312;0.100042312;0.092802286;69.58780978;16.32816634;185.0367048
IMG_0014_1;IMG_0014;1575543066;2019-12-05 11:51:06.794570+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646417.2606;5676518.38;32631;0.02337991;0.077143467;-2.450431162;0.008404367;0.008394366;0.000476367;0.006420527;0.010407636;0.154784132;0.154784132;0.143501847;69.60207747;16.32585075;185.0768667
IMG_0014_2;IMG_0014;1575543066;2019-12-05 11:51:06.794570+00:00;0.00144;200;0.00144;2.8;27.22222222;646417.2606;5676518.38;32631;0.02337991;0.077143467;-2.450431162;0.006588039;0.006571763;0.000373255;0.005101588;0.008560746;0.131391508;0.131391508;0.121814321;69.60207747;16.32585075;185.0768667
IMG_0014_3;IMG_0014;1575543066;2019-12-05 11:51:06.794570+00:00;0.00162;400;0.00162;2.8;12.09876543;646417.2606;5676518.38;32631;0.02337991;0.077143467;-2.450431162;0.006593574;0.006592962;0.000369743;0.004979229;0.00837762;0.116072279;0.116072279;0.107611718;69.60207747;16.32585075;185.0768667
IMG_0014_4;IMG_0014;1575543066;2019-12-05 11:51:06.794570+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646417.2606;5676518.38;32631;0.02337991;0.077143467;-2.450431162;0.007825989;0.007820738;0.00042112;0.005688723;0.010135253;0.07043432;0.07043432;0.06530033;69.60207747;16.32585075;185.0768667
IMG_0014_5;IMG_0014;1575543066;2019-12-05 11:51:06.794570+00:00;0.001215;800;0.001215;2.8;8.065843621;646417.2606;5676518.38;32631;0.02337991;0.077143467;-2.450431162;0.005283809;0.005280549;0.000459522;0.002907817;0.007577489;0.099448739;0.099448739;0.092199875;69.60207747;16.32585075;185.0768667
IMG_0015_1;IMG_0015;1575543067;2019-12-05 11:51:07.803190+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646416.9543;5676518.338;32631;0.022904928;0.076882993;-2.450719394;0.008380468;0.008367502;0.00047457;0.006147479;0.01037851;0.154996903;0.154996903;0.143508063;69.63167519;16.32561766;185.0809028
IMG_0015_2;IMG_0015;1575543067;2019-12-05 11:51:07.803190+00:00;0.00144;200;0.00144;2.8;27.22222222;646416.9543;5676518.338;32631;0.022904928;0.076882993;-2.450719394;0.006569322;0.006554496;0.000372685;0.004646139;0.008919316;0.131572233;0.131572233;0.121819701;69.63167519;16.32561766;185.0809028
IMG_0015_3;IMG_0015;1575543067;2019-12-05 11:51:07.803190+00:00;0.00162;400;0.00162;2.8;12.09876543;646416.9543;5676518.338;32631;0.022904928;0.076882993;-2.450719394;0.006578725;0.006579444;0.000369277;0.004692112;0.00841912;0.116231835;0.116231835;0.107616379;69.63167519;16.32561766;185.0809028
IMG_0015_4;IMG_0015;1575543067;2019-12-05 11:51:07.803190+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646416.9543;5676518.338;32631;0.022904928;0.076882993;-2.450719394;0.007811684;0.007809323;0.000417906;0.005816969;0.01004162;0.070423627;0.070423627;0.065203614;69.63167519;16.32561766;185.0809028
IMG_0015_5;IMG_0015;1575543067;2019-12-05 11:51:07.803190+00:00;0.001215;800;0.001215;2.8;8.065843621;646416.9543;5676518.338;32631;0.022904928;0.076882993;-2.450719394;0.005266982;0.005267915;0.000458393;0.003038413;0.007360449;0.09958544;0.09958544;0.092203866;69.63167519;16.32561766;185.0809028
IMG_0016_1;IMG_0016;1575543077;2019-12-05 11:51:17.831940+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646416.7175;5676518.064;32631;0.023723015;0.07623727;-2.445890519;0.00819383;0.00818509;0.000460187;0.006235034;0.010465881;0.155028337;0.155028337;0.143503973;69.63862444;16.32328724;185.1210711
IMG_0016_2;IMG_0016;1575543077;2019-12-05 11:51:17.831940+00:00;0.00144;200;0.00144;2.8;27.22222222;646416.7175;5676518.064;32631;0.023723015;0.07623727;-2.445890519;0.006414586;0.006398558;0.000365144;0.004919475;0.008536398;0.131810694;0.131810694;0.122012263;69.63862444;16.32328724;185.1210711
IMG_0016_3;IMG_0016;1575543077;2019-12-05 11:51:17.831940+00:00;0.00162;400;0.00162;2.8;12.09876543;646416.7175;5676518.064;32631;0.023723015;0.07623727;-2.445890519;0.006414406;0.006414559;0.000361466;0.004724944;0.008059161;0.116255271;0.116255271;0.107613186;69.63862444;16.32328724;185.1210711
IMG_0016_4;IMG_0016;1575543077;2019-12-05 11:51:17.831940+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646416.7175;5676518.064;32631;0.023723015;0.07623727;-2.445890519;0.007651241;0.007644286;0.000415644;0.005441803;0.010224061;0.070328467;0.070328467;0.065100449;69.63862444;16.32328724;185.1210711
IMG_0016_5;IMG_0016;1575543077;2019-12-05 11:51:17.831940+00:00;0.001215;800;0.001215;2.8;8.065843621;646416.7175;5676518.064;32631;0.023723015;0.07623727;-2.445890519;0.005137504;0.005137315;0.000453576;0.002806887;0.00747521;0.099605498;0.099605498;0.092201109;69.63862444;16.32328724;185.1210711
IMG_0017_1;IMG_0017;1575543087;2019-12-05 11:51:27.860700+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646417.6062;5676516.798;32631;0.023678147;0.075317534;-2.44340352;0.00818024;0.008168614;0.000457373;0.006169403;0.010183521;0.155362354;0.155362354;0.143513426;69.68646736;16.32094686;185.1612531
IMG_0017_2;IMG_0017;1575543087;2019-12-05 11:51:27.860700+00:00;0.00144;200;0.00144;2.8;27.22222222;646417.6062;5676516.798;32631;0.023678147;0.075317534;-2.44340352;0.006376235;0.00636109;0.000359956;0.004869905;0.008435339;0.131883871;0.131883871;0.121825562;69.68646736;16.32094686;185.1612531
IMG_0017_3;IMG_0017;1575543087;2019-12-05 11:51:27.860700+00:00;0.00162;400;0.00162;2.8;12.09876543;646417.6062;5676516.798;32631;0.023678147;0.075317534;-2.44340352;0.006364255;0.006365042;0.00036191;0.004765556;0.008090828;0.116505725;0.116505725;0.107620252;69.68646736;16.32094686;185.1612531
IMG_0017_4;IMG_0017;1575543087;2019-12-05 11:51:27.860700+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646417.6062;5676516.798;32631;0.023678147;0.075317534;-2.44340352;0.00759804;0.007591756;0.000414422;0.005722963;0.010022154;0.070049237;0.070049237;0.064706833;69.68646736;16.32094686;185.1612531
IMG_0017_5;IMG_0017;1575543087;2019-12-05 11:51:27.860700+00:00;0.001215;800;0.001215;2.8;8.065843621;646417.6062;5676516.798;32631;0.023678147;0.075317534;-2.44340352;0.005090224;0.005089483;0.000453373;0.003149705;0.007928576;0.09949599;0.09949599;0.091907789;69.68646736;16.32094686;185.1612531
IMG_0018_1;IMG_0018;1575543097;2019-12-05 11:51:37.889350+00:00;0.0014625;200;0.0014625;2.8;26.8034188;646418.4063;5676516.432;32631;0.024564673;0.074991311;-2.441194132;0.008300011;0.008287515;0.000475301;0.006137575;0.010417649;0.154967499;0.154967499;0.143257721;69.67156363;16.31858031;185.2014318
IMG_0018_2;IMG_0018;1575543097;2019-12-05 11:51:37.889350+00:00;0.00144;200;0.00144;2.8;27.22222222;646418.4063;5676516.432;32631;0.024564673;0.074991311;-2.441194132;0.006444109;0.006426868;0.000368623;0.004979533;0.00852839;0.131358168;0.131358168;0.121432377;69.67156363;16.31858031;185.2014318
IMG_0018_3;IMG_0018;1575543097;2019-12-05 11:51:37.889350+00:00;0.00162;400;0.00162;2.8;12.09876543;646418.4063;5676516.432;32631;0.024564673;0.074991311;-2.441194132;0.006415156;0.00641662;0.000362055;0.00482185;0.008165732;0.115335953;0.115335953;0.106620845;69.67156363;16.31858031;185.2014318
IMG_0018_4;IMG_0018;1575543097;2019-12-05 11:51:37.889350+00:00;0.0013275;800;0.0013275;2.8;7.382297552;646418.4063;5676516.432;32631;0.024564673;0.074991311;-2.441194132;0.00764925;0.007646096;0.000418307;0.005518723;0.010015559;0.069348897;0.069348897;0.0641087;69.67156363;16.31858031;185.2014318
IMG_0018_5;IMG_0018;1575543097;2019-12-05 11:51:37.889350+00:00;0.001215;800;0.001215;2.8;8.065843621;646418.4063;5676516.432;32631;0.024564673;0.074991311;-2.441194132;0.005123347;0.005122742;0.000454551;0.003172081;0.00717061;0.09876986;0.09876986;0.091306533;69.67156363;16.31858031;185.2014318
